Drug1,Drug2,MACCS_TanimotoSimilarity
CLOUD144,CLOUD038,0.347222222222
CLOUD144,CLOUD039,0.337837837838
CLOUD054,CLOUD010,0.346153846154
CLOUD144,CLOUD032,0.203703703704
CLOUD144,CLOUD033,0.25
CLOUD144,CLOUD030,0.150943396226
CLOUD144,CLOUD031,0.446428571429
CLOUD144,CLOUD036,0.365384615385
CLOUD144,CLOUD037,0.263157894737
CLOUD144,CLOUD034,0.267605633803
CLOUD144,CLOUD035,0.280487804878
CLOUD263,CLOUD134,0.338235294118
CLOUD177,CLOUD058,0.276315789474
CLOUD177,CLOUD059,0.293333333333
CLOUD177,CLOUD056,0.333333333333
CLOUD177,CLOUD057,0.514705882353
CLOUD177,CLOUD054,0.271186440678
CLOUD177,CLOUD055,0.205882352941
CLOUD177,CLOUD052,0.265625
CLOUD177,CLOUD053,0.388888888889
CLOUD177,CLOUD050,0.305882352941
CLOUD177,CLOUD051,0.164179104478
CLOUD253,CLOUD082,0.341463414634
CLOUD253,CLOUD083,0.177419354839
CLOUD253,CLOUD080,0.205128205128
CLOUD253,CLOUD081,0.253968253968
CLOUD253,CLOUD086,0.243902439024
CLOUD253,CLOUD087,0.207547169811
CLOUD253,CLOUD084,0.285714285714
CLOUD253,CLOUD085,0.14
CLOUD216,CLOUD034,0.384615384615
CLOUD216,CLOUD035,0.330188679245
CLOUD216,CLOUD036,0.215909090909
CLOUD216,CLOUD037,0.173913043478
CLOUD216,CLOUD030,0.154761904762
CLOUD216,CLOUD031,0.329545454545
CLOUD216,CLOUD032,0.16091954023
CLOUD216,CLOUD033,0.298969072165
CLOUD219,CLOUD077,0.225
CLOUD216,CLOUD038,0.357142857143
CLOUD216,CLOUD039,0.377551020408
CLOUD229,CLOUD222,0.171428571429
CLOUD249,CLOUD067,0.185714285714
CLOUD249,CLOUD066,0.166666666667
CLOUD249,CLOUD065,0.163636363636
CLOUD249,CLOUD064,0.1875
CLOUD249,CLOUD063,0.2
CLOUD249,CLOUD062,0.102564102564
CLOUD249,CLOUD061,0.102941176471
CLOUD249,CLOUD060,0.147058823529
CLOUD249,CLOUD069,0.239436619718
CLOUD249,CLOUD068,0.144927536232
CLOUD188,CLOUD090,0.308641975309
CLOUD188,CLOUD091,0.175438596491
CLOUD188,CLOUD092,0.341176470588
CLOUD188,CLOUD093,0.407407407407
CLOUD188,CLOUD094,0.368421052632
CLOUD188,CLOUD095,0.4
CLOUD188,CLOUD096,0.323076923077
CLOUD188,CLOUD097,0.153846153846
CLOUD188,CLOUD098,0.340425531915
CLOUD188,CLOUD099,0.320754716981
CLOUD055,CLOUD028,0.375
CLOUD055,CLOUD029,0.565217391304
CLOUD094,CLOUD054,0.228070175439
CLOUD094,CLOUD055,0.425925925926
CLOUD094,CLOUD052,0.1875
CLOUD094,CLOUD053,0.217948717949
CLOUD094,CLOUD050,0.277108433735
CLOUD094,CLOUD051,0.196721311475
CLOUD055,CLOUD020,0.104166666667
CLOUD055,CLOUD021,0.2
CLOUD055,CLOUD022,0.473684210526
CLOUD055,CLOUD023,0.218181818182
CLOUD055,CLOUD024,0.197183098592
CLOUD055,CLOUD025,0.5
CLOUD055,CLOUD026,0.361111111111
CLOUD055,CLOUD027,0.375
CLOUD187,CLOUD020,0.166666666667
CLOUD187,CLOUD021,0.242857142857
CLOUD195,CLOUD173,0.116666666667
CLOUD187,CLOUD023,0.228070175439
CLOUD062,CLOUD048,0.0526315789474
CLOUD062,CLOUD049,0.285714285714
CLOUD195,CLOUD177,0.239436619718
CLOUD187,CLOUD027,0.213333333333
CLOUD062,CLOUD044,0.31914893617
CLOUD062,CLOUD045,0.220588235294
CLOUD062,CLOUD046,0.234042553191
CLOUD062,CLOUD047,0.134615384615
CLOUD062,CLOUD040,0.191176470588
CLOUD062,CLOUD041,0.24
CLOUD062,CLOUD042,0.204081632653
CLOUD062,CLOUD043,0.0714285714286
CLOUD032,CLOUD027,0.290909090909
CLOUD032,CLOUD026,0.265625
CLOUD032,CLOUD025,0.240740740741
CLOUD032,CLOUD024,0.214285714286
CLOUD032,CLOUD023,0.219512195122
CLOUD032,CLOUD022,0.264150943396
CLOUD032,CLOUD021,0.240740740741
