Drug1,Drug2,Batch,InteractionType,Value,MahalanobisDistance
CLOUD231,CLOUD063,Batch1,Emergent,2.95328710521,10.2610578978
CLOUD147,CLOUD101,Batch2,Emergent,0.526576182172,10.8562709856
CLOUD063,CLOUD039,Batch2,Emergent,2.3200104861,17.6537412237
CLOUD159,CLOUD063,Batch2,Emergent,1.38376637727,9.55505854803
CLOUD178,CLOUD125,Batch2,Emergent,0.876852697014,10.1816785275
CLOUD063,CLOUD030,Batch1,Emergent,1.86412508663,3.9304486587
CLOUD063,CLOUD033,Batch1,Emergent,2.17004465576,6.51021261773
CLOUD063,CLOUD037,Batch1,Emergent,1.5272569028,4.43004321972
CLOUD211,CLOUD181,Batch1,Emergent,1.00566621846,5.02471644588
CLOUD216,CLOUD063,Batch2,Emergent,2.79029575299,13.3501637034
CLOUD147,CLOUD088,Batch2,Emergent,1.15736311467,16.359146403
CLOUD156,CLOUD081,Batch1,Emergent,1.3774533877,4.87589413005
CLOUD155,CLOUD075,Batch1,Emergent,1.11892614062,7.527574743
CLOUD234,CLOUD082,Batch1,Emergent,1.49903756113,10.9770711768
CLOUD222,CLOUD211,Batch1,Emergent,1.19788338656,6.14408597002
CLOUD163,CLOUD057,Batch1,Emergent,1.41983091769,4.55227991353
CLOUD051,CLOUD031,Batch1,Emergent,1.26103392008,4.60958231669
CLOUD191,CLOUD141,Batch2,Emergent,0.694565637359,8.18817916183
CLOUD177,CLOUD063,Batch1,Emergent,2.87283913355,9.17112646123
CLOUD262,CLOUD063,Batch2,Emergent,1.71708016242,13.5974414826
CLOUD116,CLOUD064,Batch2,Emergent,0.653766389781,9.58608840204
CLOUD225,CLOUD057,Batch2,Emergent,0.813505258899,7.21716612514
CLOUD130,CLOUD112,Batch2,Emergent,0.751527022629,6.52238429563
CLOUD117,CLOUD027,Batch2,Emergent,0.745099458505,6.90610379715
CLOUD222,CLOUD056,Batch2,Emergent,0.540275631748,6.58407812169
CLOUD241,CLOUD091,Batch1,Emergent,1.51535660663,9.15088955063
CLOUD212,CLOUD075,Batch1,Emergent,1.010270142,5.01019066681
CLOUD182,CLOUD063,Batch2,Emergent,0.996795908211,3.55206353889
CLOUD222,CLOUD102,Batch2,Emergent,0.524870929071,6.78561015877
CLOUD136,CLOUD042,Batch1,Emergent,1.14781296423,5.30960383373
CLOUD057,CLOUD020,Batch2,Emergent,1.88390917809,22.9487707969
CLOUD182,CLOUD089,Batch2,Emergent,0.928893028598,8.88795169455
CLOUD112,CLOUD043,Batch2,Emergent,0.793484055511,4.39261053599
CLOUD112,CLOUD041,Batch2,Emergent,0.650871456851,7.7789300295
CLOUD143,CLOUD129,Batch2,Emergent,1.98866217248,3.65990822141
CLOUD112,CLOUD047,Batch2,Emergent,1.00709851414,5.43405743499
CLOUD112,CLOUD044,Batch2,Emergent,0.715169994841,8.43790460306
CLOUD187,CLOUD179,Batch2,Emergent,0.956782123886,4.97701580815
CLOUD182,CLOUD014,Batch2,Emergent,2.19566186468,26.7305104791
CLOUD144,CLOUD117,Batch2,Emergent,0.864785149356,3.84741329503
CLOUD144,CLOUD112,Batch2,Emergent,0.737718212921,4.31725147231
CLOUD241,CLOUD240,Batch2,Emergent,1.74141315096,19.1809285313
CLOUD093,CLOUD085,Batch1,Emergent,1.22248149568,6.1360957346
CLOUD119,CLOUD055,Batch1,Emergent,1.42487016513,6.33218186733
CLOUD167,CLOUD063,Batch2,Emergent,2.79915541659,24.428731478
CLOUD090,CLOUD063,Batch2,Emergent,1.10939407991,4.8021619113
CLOUD161,CLOUD002,Batch1,Emergent,1.43466535721,6.08158106515
CLOUD237,CLOUD077,Batch1,Emergent,1.29773118003,3.82081885692
CLOUD127,CLOUD117,Batch2,Emergent,1.24086905233,8.47737068923
CLOUD246,CLOUD143,Batch2,Emergent,1.64631820251,7.3006589792
CLOUD077,CLOUD020,Batch2,Emergent,0.895633456148,3.73993775732
CLOUD129,CLOUD032,Batch2,Emergent,2.36035191215,5.20219789805
CLOUD235,CLOUD089,Batch1,Emergent,1.20580241496,5.09792325549
CLOUD141,CLOUD006,Batch2,Emergent,0.721471821879,7.68370873904
CLOUD136,CLOUD063,Batch2,Emergent,1.04321151183,4.52298830111
CLOUD222,CLOUD077,Batch2,Emergent,1.07091714544,7.13627850831
CLOUD199,CLOUD187,Batch1,Emergent,1.84954236826,7.5236908564
CLOUD264,CLOUD063,Batch1,Emergent,2.29948057398,5.31285185588
CLOUD102,CLOUD007,Batch1,Emergent,1.39034303481,6.45662825127
CLOUD258,CLOUD112,Batch2,Emergent,0.665845502184,5.39498847629
CLOUD231,CLOUD130,Batch1,Emergent,0.825704209036,5.14664292471
CLOUD196,CLOUD031,Batch2,Emergent,0.492389464761,4.65600949463
CLOUD171,CLOUD103,Batch2,Emergent,1.83854511078,13.1890968708
CLOUD149,CLOUD053,Batch1,Emergent,1.53615657973,4.06343918079
CLOUD254,CLOUD210,Batch2,Emergent,0.902734917252,17.4430263446
CLOUD231,CLOUD141,Batch2,Emergent,0.920712980853,5.07244178269
CLOUD218,CLOUD186,Batch1,Emergent,2.08756702987,7.98945731179
CLOUD266,CLOUD199,Batch1,Emergent,1.40272970984,5.72194687196
CLOUD257,CLOUD136,Batch2,Emergent,0.87581232558,9.34158281669
CLOUD092,CLOUD057,Batch1,Emergent,1.7539073938,4.91228888409
CLOUD196,CLOUD194,Batch1,Emergent,1.61501598478,3.83691978507
CLOUD205,CLOUD051,Batch2,Emergent,0.488637575158,5.43842128906
CLOUD235,CLOUD233,Batch1,Emergent,1.10609366574,5.77913932865
CLOUD205,CLOUD112,Batch2,Emergent,1.25955348921,16.2087574031
CLOUD146,CLOUD060,Batch1,Emergent,2.3481923337,19.0711624986
CLOUD241,CLOUD211,Batch1,Emergent,1.33686810318,6.41475129481
CLOUD209,CLOUD052,Batch2,Emergent,0.60762782371,4.95363616056
CLOUD142,CLOUD077,Batch2,Emergent,0.894034518088,3.66060618924
CLOUD089,CLOUD019,Batch2,Emergent,0.48948734328,3.86649509506
CLOUD233,CLOUD178,Batch1,Emergent,1.45124632052,7.0869938198
CLOUD162,CLOUD116,Batch2,Emergent,0.740811559102,13.0375940049
CLOUD178,CLOUD026,Batch1,Emergent,1.50525141751,7.83578471541
CLOUD162,CLOUD112,Batch2,Emergent,0.94986858866,7.43572373222
CLOUD089,CLOUD016,Batch2,Emergent,0.816753359705,7.80311756152
CLOUD089,CLOUD014,Batch1,Emergent,1.08794897373,4.03550998584
CLOUD164,CLOUD063,Batch2,Emergent,1.03899063506,4.30266419843
CLOUD101,CLOUD045,Batch2,Emergent,0.497247107037,4.59716187992
CLOUD067,CLOUD063,Batch1,Emergent,1.78550745417,5.46354572006
CLOUD257,CLOUD044,Batch2,Emergent,0.893031789112,9.06300071727
CLOUD117,CLOUD063,Batch2,Emergent,1.78193285573,13.3255358222
CLOUD163,CLOUD143,Batch1,Emergent,1.47270364115,7.87547845399
CLOUD177,CLOUD058,Batch1,Emergent,1.54672244663,9.23929456959
CLOUD254,CLOUD147,Batch2,Emergent,0.430792734372,5.33969013816
CLOUD235,CLOUD207,Batch1,Emergent,1.9906327102,12.2138010839
