Drug,NumberInteractions,NumberIncreasing,NumberDecreasing,NumberEmergent,Filtered,All,Filtered_MsigD_BP,Filtered_MsigD_MF,Filtered_Msig_ChemGen_Perturbation,Filtered_MsigD_CC,Filtered_MsigD_KeGG,All_MsigD_BP,All_MsigD_MF,All_Msig_ChemGen_Perturbation,All_MsigD_CC,All_MsigD_KeGG,Filtered_AvgDegree,All_AvgDegree,Filtered_AvgClustering,All_AvgClustering,Filtered_Disease,All_Disease,KeGG_Indirect,KeGG_Direct,SideEffects_TwoSide_CLOUDs.gml,SideEffects_CLOUD_to_Offsides,SideEffects_Drugbank_2018-07-03_CLOUD_Only.gml,SideEffects_CLOUD_to_SIDER,ATC_SecondLevel,ATC_FirstLevel,Enzymes,Transporters,Carriers
CLOUD105,4,1,3,0,8,14,245,56,239,60,11,336,72,332,63,19,67.0,39.69230769230769,0.0541615683165,0.198488613803,129,255,35,0,4,676,54,74,1,1,6,0,0
CLOUD106,3,0,3,0,15,21,1131,102,539,101,34,1210,134,667,106,43,229.64285714285714,165.35,0.0831341313421,0.096995661059,654,683,99,1,97,301,51,108,10,7,5,2,2
CLOUD107,7,2,2,3,2,5,106,5,10,5,1,189,21,52,8,9,142.0,61.0,0.0228531531701,0.269654081781,24,111,14,0,0,245,56,18,1,1,3,0,0
CLOUD108,4,0,3,1,0,3,0,0,0,0,0,166,52,51,11,10,nan,7.5,nan,0.551282051282,0,105,12,0,27,485,50,241,1,1,2,2,0
CLOUD109,5,1,3,1,42,47,1327,152,702,123,38,1447,194,804,132,46,128.47619047619048,116.42553191489361,0.0691888534206,0.0887062175938,651,719,126,0,3,232,78,86,1,1,4,5,2
CLOUD110,12,4,6,2,9,18,366,39,107,48,4,521,87,234,70,13,57.25,32.470588235294116,0.0635638963251,0.167630860357,88,262,25,3,50,645,49,103,1,1,6,4,2
CLOUD111,7,3,3,1,1,7,28,17,14,6,1,84,32,102,10,8,1.0,6.428571428571429,0.0,0.317634746206,0,114,13,0,0,0,86,0,1,1,10,0,0
CLOUD112,41,2,10,29,50,51,1449,195,1068,134,47,1463,202,1076,134,53,197.6530612244898,193.96,0.0949490770806,0.0951013775903,988,988,116,0,0,163,26,60,1,1,1,0,0
CLOUD113,5,3,1,1,12,21,869,100,336,66,21,970,119,522,72,31,215.33333333333334,130.66666666666666,0.0949880137762,0.112954807481,429,490,60,1,50,330,102,197,1,1,10,1,1
CLOUD114,6,1,4,1,64,84,1706,180,1277,155,69,1845,235,1407,169,77,144.51612903225808,114.41975308641975,0.083996016082,0.102852773957,897,1005,159,3,38,374,102,329,1,1,18,13,8
CLOUD115,11,0,7,4,31,35,1325,162,919,101,36,1405,174,1014,112,43,196.41935483870967,179.4857142857143,0.10212040764,0.0994765230094,841,916,95,2,0,299,4,207,1,1,4,0,0
CLOUD116,5,1,3,1,17,21,287,44,192,29,2,385,68,264,47,9,16.875,16.35,0.108823669591,0.128237201851,228,317,16,2,11,258,46,159,1,1,4,0,0
CLOUD117,18,1,8,9,7,28,430,49,229,41,17,708,130,549,73,30,41.285714285714285,30.16,0.0744613052464,0.0716516538162,236,512,59,0,26,252,27,147,1,1,13,12,6
CLOUD118,5,3,1,1,1,3,44,5,5,1,2,97,24,88,10,3,1.0,16.333333333333332,0.0,0.0298524087998,16,197,7,3,38,658,6,61,1,1,2,1,1
CLOUD119,7,2,4,1,9,17,637,82,283,57,23,740,116,416,80,30,122.33333333333333,81.52941176470588,0.118572994445,0.0769303607564,212,337,73,7,71,361,80,527,2,2,7,6,6
CLOUD120,7,4,3,0,0,1,0,0,0,0,0,32,13,43,12,0,nan,3.0,nan,0.0,0,51,1,0,0,0,0,49,1,1,0,1,1
CLOUD121,6,3,3,0,10,20,881,96,304,69,46,1082,114,586,86,55,130.2,74.85,0.0767873535411,0.132180280416,579,710,133,4,56,841,81,347,1,1,11,1,2
CLOUD122,12,2,5,5,58,72,1668,203,993,199,50,1802,242,1160,208,58,84.71428571428571,71.40579710144928,0.0779282436922,0.0972613204144,701,763,136,2,36,274,60,131,1,1,10,8,5
CLOUD123,7,0,4,3,1,2,19,10,14,3,0,50,15,40,3,1,26.0,38.0,0.0615384615385,0.0740345368917,21,50,5,1,0,400,9,73,1,1,1,0,0
CLOUD124,7,4,2,1,4,5,270,31,96,26,5,293,41,143,27,6,73.25,62.6,0.161791214972,0.144169814083,111,180,16,2,89,367,79,108,1,1,1,1,1
CLOUD125,9,3,3,3,9,9,341,19,107,22,3,341,19,107,22,3,8.625,8.625,0.0604790634202,0.0604790634202,95,95,9,0,0,0,54,0,2,2,0,0,0
CLOUD126,5,3,2,0,14,16,775,66,303,54,4,809,75,329,55,9,25.928571428571427,23.6875,0.058479837624,0.0992467809979,207,241,27,4,0,170,56,36,1,1,3,0,0
CLOUD127,3,2,0,1,2,3,89,32,18,9,2,155,37,86,21,3,9.0,8.333333333333334,0.0646825396825,0.122486772487,124,138,8,1,27,553,43,37,2,2,1,0,0
CLOUD128,12,5,4,3,1,8,76,17,0,0,0,159,32,189,9,10,nan,10.0,nan,0.320045710592,0,200,15,0,0,0,34,24,1,1,8,0,0
CLOUD129,9,1,4,4,6,13,463,45,108,40,15,642,94,273,58,23,27.6,21.333333333333332,0.143591408591,0.158644753583,286,502,54,0,5,450,61,132,1,1,7,2,1
CLOUD130,9,3,3,3,4,6,508,81,336,34,15,549,91,367,37,21,693.75,465.1666666666667,0.081446041504,0.182502489208,250,267,64,0,0,0,65,0,1,1,3,0,0
CLOUD131,9,3,4,2,0,1,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,0,0,278,0,0,1,1,0,0,0
CLOUD132,10,5,2,3,3,9,413,21,121,35,14,555,60,209,50,24,53.333333333333336,24.22222222222222,0.111122589532,0.279801611201,258,449,51,0,17,229,50,89,1,1,5,1,0
CLOUD133,3,0,3,0,25,34,1457,139,633,133,43,1611,181,729,140,55,67.8,56.588235294117645,0.0943560888531,0.0999733006581,631,700,143,7,37,703,44,67,6,5,6,5,4
CLOUD134,9,4,2,3,14,21,753,51,184,78,5,851,97,308,92,12,24.857142857142858,19.904761904761905,0.0608584265015,0.0858631537185,139,245,33,0,45,410,76,176,1,1,5,2,2
CLOUD135,3,3,0,0,0,3,0,0,0,0,0,80,22,144,7,8,nan,10.333333333333334,nan,0.0721804511278,0,156,16,0,0,0,47,0,1,1,3,1,1
CLOUD136,6,0,3,3,10,16,623,69,326,51,6,741,79,463,54,14,175.3,115.9375,0.113253919526,0.153501803197,421,476,33,2,2,346,25,71,1,1,8,0,0
CLOUD137,9,3,6,0,1,2,19,19,5,14,1,60,32,29,17,7,2.0,7.5,0.0,0.0512820512821,27,46,9,0,7,304,7,26,1,1,1,0,0
CLOUD138,2,1,0,1,1,2,207,14,5,5,1,392,20,57,23,3,16.0,19.0,0.0666666666667,0.0766233766234,52,122,4,1,0,161,4,153,1,1,1,0,0
CLOUD139,5,3,2,0,15,26,1016,107,560,78,40,1140,139,763,91,48,232.93333333333334,146.24,0.0927511427074,0.0728035748728,615,657,108,1,49,723,59,268,1,1,9,7,1
CLOUD140,8,2,5,1,0,1,0,0,0,0,0,102,35,47,36,3,nan,233.0,nan,0.0602338315821,0,47,18,2,0,0,43,0,0,0,0,1,1
CLOUD141,16,3,5,8,22,44,966,168,723,108,17,1268,215,1024,129,31,79.22727272727273,58.77272727272727,0.0889550203741,0.120872799427,523,631,77,2,113,257,47,374,1,1,20,5,10
CLOUD142,12,3,5,4,17,27,928,118,452,86,23,1058,138,643,86,32,164.375,106.76923076923077,0.099001471423,0.123584140045,503,576,74,2,2,346,25,71,1,1,12,1,1
CLOUD143,28,0,15,13,29,32,1318,177,886,138,46,1391,194,946,140,54,247.3793103448276,221.96875,0.106055486865,0.105210234333,764,796,120,0,0,188,25,29,1,1,6,1,1
CLOUD144,12,4,3,5,5,14,464,59,155,37,10,586,81,408,48,22,163.75,61.38461538461539,0.0882369907766,0.236078985848,220,386,36,2,34,752,69,99,1,1,12,2,2
CLOUD145,3,0,0,3,15,16,183,26,351,69,2,183,26,364,69,2,12.083333333333334,11.461538461538462,0.0235352754825,0.0217248696761,233,233,8,0,0,120,8,94,1,1,1,0,0
CLOUD146,7,1,5,1,1,8,69,5,46,36,9,291,63,222,58,23,347.0,99.57142857142857,0.0311339141444,0.0790929878442,117,293,38,0,37,552,8,113,1,1,3,5,1
CLOUD147,10,3,3,4,8,11,239,35,232,48,5,250,48,316,48,5,23.125,17.363636363636363,0.0980396384213,0.086453070367,186,202,15,0,22,168,52,58,1,1,0,3,1
CLOUD148,9,2,5,2,7,14,295,24,114,9,5,374,60,211,36,5,110.57142857142857,70.5,0.0737056324698,0.0815353744166,45,82,22,3,97,368,36,118,1,1,2,8,5
CLOUD149,11,1,8,2,5,8,202,43,97,42,12,275,71,149,47,18,144.5,89.42857142857143,0.0609612332942,0.170070722464,197,269,26,0,13,167,119,98,1,1,2,1,0
CLOUD150,5,0,2,3,4,4,410,50,151,50,22,410,50,151,50,22,115.25,115.25,0.0810194858651,0.0810194858651,110,110,50,0,0,0,72,110,2,2,0,0,0
