Drug1,Drug2,Batch,Plate,Well,S1,S2,C,Expected,Difference
CLOUD072,CLOUD042,Batch1,1315018,E08,0.4343680738613264,0.30807464820133507,0.16368309923804275,0.6086249305179419,-0.4449418312798991
CLOUD072,CLOUD043,Batch2,1315100,B17,0.021081489884666457,0.04012370688490955,0,0.060359329248746464,-0.060359329248746464
CLOUD072,CLOUD044,Batch2,1315115,C24,0.021081489884666457,0.4577019690462686,0.2508710801393729,0.4691344195002942,-0.2182633393609213
CLOUD072,CLOUD045,Batch1,1315028,B03,0.4343680738613264,0.041769944000734416,0.07096300376388502,0.45799448774116636,-0.3870314839772813
CLOUD072,CLOUD046,Batch1,1315050,F05,0.4343680738613264,0.2866978793720738,0.12053612411640499,0.5965335475904257,-0.47599742347402063
CLOUD072,CLOUD047,Batch2,1315087,K12,0.021081489884666457,0.6379277746265836,0.19698565756421693,0.6455607965833119,-0.44857513901909496
CLOUD072,CLOUD048,Batch2,1315118,N11,0.021081489884666457,0.20157739783377907,0.09488696215865823,0.21840933584503533,-0.1235223736863771
CLOUD072,CLOUD049,Batch1,1315063,F15,0.4343680738613264,0.3400960861715474,0.1581749747544294,0.6267372781547631,-0.46856230340033367
CLOUD072,CLOUD050,Batch2,1315087,L04,0.021081489884666457,0.06787672527888086,0.003322259136212735,0.08752727266617631,-0.08420501352996358
CLOUD072,CLOUD051,Batch2,1315106,B01,0.021081489884666457,0.047727088566566794,0.1321610890527511,0.0678024203163926,0.0643586687363585
CLOUD072,CLOUD052,Batch1,1315050,I07,0.4343680738613264,0.13660148719361054,0.09758560543468278,0.5116342361760557,-0.414048630741373
CLOUD072,CLOUD053,Batch2,1315118,B11,0.021081489884666457,0.8965507927504524,0.8561704886151852,0.8987316561666604,-0.04256116755147521
CLOUD072,CLOUD054,Batch1,1315025,P01,0.4343680738613264,0.19810887726062607,0.28302579638299824,0.5464247796914243,-0.2633989833084261
CLOUD072,CLOUD055,Batch2,1315067,F12,0.021081489884666457,0.2535721038273507,0,0.26930791597014725,-0.26930791597014725
CLOUD072,CLOUD056,Batch1,1315053,K11,0.4343680738613264,0.611939515547337,0.15450289176535387,0.7805006007207336,-0.6259977089553797
CLOUD072,CLOUD057,Batch1,1315008,D08,0.4343680738613264,0.8141663715885693,0.6942990911594602,0.8948865668203039,-0.20058747566084367
CLOUD072,CLOUD058,Batch2,1315089,C02,0.021081489884666457,0.14904248710261192,0,0.16698193930303915,-0.16698193930303915
CLOUD072,CLOUD059,Batch1,1315046,G15,0.4343680738613264,0.2051251786861811,0.009455613696869508,0.5503934237811307,-0.5409378100842611
CLOUD072,CLOUD060,Batch1,1315007,I01,0.4343680738613264,0.08093008616280441,0.21784632332690715,0.4801447143801623,-0.26229839105325514
CLOUD072,CLOUD061,Batch2,1315095,I18,0.021081489884666457,0,0.25330200145855286,0.021081489884666457,0.2322205115738864
